year,month,store_type,sales
2013,1,A,392.8520821516238
2013,1,B,155.11177457712608
2013,1,C,109.06038416972956
2013,1,D,191.15993734796893
2013,1,E,60.52056989010264
2013,2,A,396.0385306868687
2013,2,B,167.3469598024486
2013,2,C,116.5211964705267
2013,2,D,195.29586281222944
2013,2,E,71.78843506780304
2013,3,A,424.97821784441186
2013,3,B,183.74920894367057
2013,3,C,122.6922707696318
2013,3,D,207.37746822091887
2013,3,E,75.8938086556696
2013,4,A,411.878127025477
2013,4,B,193.39497080972222
2013,4,C,125.98807717481482
2013,4,D,202.36379435638608
2013,4,E,79.51936765782828
2013,5,A,414.2754523555345
2013,5,B,186.83169161381392
2013,5,C,129.43352929804294
2013,5,D,203.517361743992
2013,5,E,130.50458475142045
2013,6,A,422.5682972908249
2013,6,B,189.84399015414297
2013,6,C,133.8274954545202
2013,6,D,210.0707293829335
2013,6,E,134.19508617116477
2013,7,A,395.0398105129419
2013,7,B,182.59178764112215
2013,7,C,123.61338466145833
2013,7,D,202.00295577988743
2013,7,E,127.1899971640625
2013,8,A,406.72435730748344
2013,8,B,192.2696175469697
2013,8,C,135.4071167804301
2013,8,D,203.34879101530356
2013,8,E,145.95707893128053
2013,9,A,439.65731777474747
2013,9,B,197.54809330919193
2013,9,C,133.86568348949496
2013,9,D,212.23368971455668
2013,9,E,136.6403739782071
2013,10,A,419.18551658046056
2013,10,B,194.02700940703812
2013,10,C,129.84631078044967
2013,10,D,206.17807019015967
2013,10,E,131.771173257087
2013,11,A,471.986060609147
2013,11,B,204.30086792449495
2013,11,C,137.68721448152863
2013,11,D,221.58758248877106
2013,11,E,136.301708079798
2013,12,A,628.6964142288476
2013,12,B,263.2526336346774
2013,12,C,165.60617660651678
2013,12,D,286.3011263959162
2013,12,E,181.66401121432062
2014,1,A,718.5144275307592
2014,1,B,264.35390550293255
2014,1,C,179.44576932101663
2014,1,D,356.84569311728575
2014,1,E,197.52054770259042
2014,2,A,479.7029179808803
2014,2,B,213.49473667068455
2014,2,C,145.9546483083694
2014,2,D,232.31044025646946
2014,2,E,158.08209055194806
2014,3,A,770.8307844635603
2014,3,B,297.0073462665567
2014,3,C,195.60411500312804
2014,3,D,375.1878033892419
2014,3,E,226.68218615420332
2014,4,A,497.61077569259254
2014,4,B,212.8282245763889
2014,4,C,142.32864526202022
2014,4,D,226.00943167892257
2014,4,E,151.73511424848485
2014,5,A,506.3865493679809
2014,5,B,213.78024286875612
2014,5,C,148.49350993209515
2014,5,D,219.0494622739003
2014,5,E,160.2387794010264
2014,6,A,502.7818622012039
2014,6,B,210.4513009522842
2014,6,C,147.06647783936333
2014,6,D,230.19075535579532
2014,6,E,163.04832408907257
2014,7,A,730.6181875798611
2014,7,B,281.77348570913824
2014,7,C,195.9884847188131
2014,7,D,347.6774583319497
2014,7,E,229.26311000594222
2014,8,A,512.8645533345281
2014,8,B,220.1470660943304
2014,8,C,142.362545066015
2014,8,D,242.22820807837513
2014,8,E,175.123511728739
2014,9,A,781.924082245679
2014,9,B,298.0682624071212
2014,9,C,199.19746251037037
2014,9,D,384.712468881156
2014,9,E,222.50338105934344
2014,10,A,766.2052144446617
2014,10,B,290.93942972707725
2014,10,C,196.81714912134245
2014,10,D,381.3121536685511
2014,10,E,224.5748927123656
2014,11,A,803.5920457294837
2014,11,B,300.5239767948863
2014,11,C,209.4769024297643
2014,11,D,389.59099130123457
2014,11,E,236.92846310808082
2014,12,A,956.8887134589647
2014,12,B,365.7169334535393
2014,12,C,247.59858894507576
2014,12,D,467.7530279465488
2014,12,E,289.7343693222064
2015,1,A,543.9576264797437
2015,1,B,221.59256757618525
2015,1,C,160.53535197135875
2015,1,D,263.05124813780276
2015,1,E,187.67105521652005
2015,2,A,526.4938516208513
2015,2,B,261.3025078184118
2015,2,C,169.07469530382394
2015,2,D,261.270679446639
2015,2,E,201.2163482253788
2015,3,A,541.2756286893668
2015,3,B,272.359629288001
2015,3,C,165.247580971652
2015,3,D,267.6427980263006
2015,3,E,225.3159789963343
2015,4,A,536.5102319482604
2015,4,B,272.3891828318182
2015,4,C,161.84077239077442
2015,4,D,260.94204910541526
2015,4,E,243.46386137045457
2015,5,A,624.4523418485935
2015,5,B,304.08545074902247
2015,5,C,186.75378311704137
2015,5,D,297.230277392636
2015,5,E,281.8829604447703
2015,6,A,781.0511074117213
2015,6,B,342.59363963381867
2015,6,C,217.60277580580808
2015,6,D,395.6577453477062
2015,6,E,323.84731965814393
2015,7,A,785.1070775141519
2015,7,B,363.8231278158026
2015,7,C,217.38234614810605
2015,7,D,399.5804630888836
2015,7,E,333.4742374045928
2015,8,A,798.9363371139351
2015,8,B,412.26839053695016
2015,8,C,221.59227573483219
2015,8,D,401.0181547265179
2015,8,E,354.14983016471166
2015,9,A,827.7330678764309
2015,9,B,424.07777195830806
2015,9,C,228.1126979993266
2015,9,D,426.25339029222226
2015,9,E,384.79189619318186
2015,10,A,821.0785345218856
2015,10,B,413.627954940738
2015,10,C,232.23784763191267
2015,10,D,424.8888507181166
2015,10,E,377.7794098115836
2015,11,A,840.2459735332211
2015,11,B,399.1347925479419
2015,11,C,223.49313759232322
2015,11,D,423.616205776908
2015,11,E,325.6313906212121
2015,12,A,996.9817271075268
2015,12,B,488.7332367519062
2015,12,C,271.04727511045945
2015,12,D,511.32664332779956
2015,12,E,398.83938542741936
2016,1,A,846.3840220545237
2016,1,B,406.17499387690617
2016,1,C,228.56854479804497
2016,1,D,432.6548546507277
2016,1,E,338.8856869562561
2016,2,A,804.3885164928596
2016,2,B,409.1559193215387
2016,2,C,229.04122278167887
2016,2,D,424.8415439562928
2016,2,E,334.5103450632184
2016,3,A,784.7917400227544
2016,3,B,404.24947192495114
2016,3,C,228.03635184952753
2016,3,D,418.13321578269796
2016,3,E,341.91173036241446
2016,4,A,912.3393804136527
2016,4,B,506.5668097170699
2016,4,C,264.5568194050179
2016,4,D,472.5760493173781
2016,4,E,404.89092596212123
2016,5,A,852.7308115782106
2016,5,B,449.8689062043723
2016,5,C,247.28298915220776
2016,5,D,457.7465519082636
2016,5,E,373.0110409134199
2016,6,A,777.1826065498738
2016,6,B,403.0351995448745
2016,6,C,223.7601931150568
2016,6,D,430.12690340856483
2016,6,E,335.79871045714964
2016,7,A,808.5999913309867
2016,7,B,424.44335235244495
2016,7,C,230.84651825234158
2016,7,D,429.9675532418682
2016,7,E,370.82483102892564
2016,8,A,761.1506650400781
2016,8,B,379.10580583289345
2016,8,C,224.49606698898666
2016,8,D,402.6919139185131
2016,8,E,362.1302979210655
2016,9,A,818.0954663488216
2016,9,B,377.42788348204544
2016,9,C,233.42847951393938
2016,9,D,408.2298093587486
2016,9,E,353.0102351252525
2016,10,A,853.6653269195721
2016,10,B,398.61135595953084
2016,10,C,236.65932544907136
2016,10,D,425.77645693753124
2016,10,E,351.0930564777615
2016,11,A,935.0832272400892
2016,11,B,390.6054211056452
2016,11,C,243.44201396370153
2016,11,D,467.3089533260779
2016,11,E,348.42916886339196
2016,12,A,1090.1084303885414
2016,12,B,526.4573246398949
2016,12,C,292.31124957908116
2016,12,D,543.0182546626426
2016,12,E,475.6421409775171
2017,1,A,938.6372142306398
2017,1,B,444.43684470008554
2017,1,C,240.99239043818832
2017,1,D,474.8378062781091
2017,1,E,392.7576664660313
2017,2,A,895.286491808201
2017,2,B,442.97176117613634
2017,2,C,242.01217504963924
2017,2,D,461.7418212195045
2017,2,E,404.89283921401517
2017,3,A,937.1824159384164
2017,3,B,457.9047476903592
2017,3,C,250.5215220612577
2017,3,D,481.723792008222
2017,3,E,394.2258235989736
2017,4,A,933.4451309193548
2017,4,B,484.2671203488148
2017,4,C,259.79951410394267
2017,4,D,455.46668416774736
2017,4,E,416.7007519269306
2017,5,A,976.4966817542088
2017,5,B,459.5413197227517
2017,5,C,264.0256970318671
2017,5,D,456.9357180903117
2017,5,E,414.19049540615833
2017,6,A,992.2942507087015
2017,6,B,455.5353393207742
2017,6,C,254.46103346780305
2017,6,D,464.8545573953178
2017,6,E,407.74113158238634
2017,7,A,989.3060124617214
2017,7,B,466.3509479249645
2017,7,C,261.35577904558085
2017,7,D,455.6245008489794
2017,7,E,424.74852554947915
2017,8,A,903.0782699430528
2017,8,B,473.74138795732324
2017,8,C,265.39519071555554
2017,8,D,411.96653791113357
2017,8,E,450.9657616257576
